item,start,stop,catflow,mean,std,max,min
001,2018-12-11 16:38:00.190,2018-12-11 16:53:59.860,0.0,0.0036838654021937845,0.0007092495513624672,0.006327,0.001074
005,2018-12-19 09:39:44.000,2018-12-19 09:54:59.830,0.0,0.0021888670423711124,0.0007490259060920892,0.005769,-0.000534
009,2018-12-10 18:39:00.040,2018-12-10 18:56:59.890,0.0,0.0030088549664838513,0.000679012229919271,0.005591,0.000641
002,2018-12-11 21:58:00.060,2018-12-11 22:16:59.910,45.7,0.08747541348917418,0.02263628760430322,0.166899,0.001825
006,2018-12-19 14:51:17.480,2018-12-19 15:05:59.910,49.5,0.10576100695349848,0.003989152221264594,0.11982,0.090707
010,2018-12-10 23:16:03.060,2018-12-10 23:30:59.930,44.3,0.0929676299289738,0.002960401365348051,0.103581,0.084221
003,2018-12-11 22:54:00.130,2018-12-11 23:05:59.820,91.3,0.2152635781961737,0.00822862418037901,0.241483,0.184607
007,2018-12-19 16:36:13.250,2018-12-19 16:50:58.620,95.3,0.23118335353535352,0.009350504660114113,0.265835,0.194403
011,2018-12-10 22:23:14.980,2018-12-10 22:37:59.920,91.6,0.21873500099157167,0.007789611537858319,0.246901,0.191371
004,2018-12-11 23:45:00.180,2018-12-11 23:55:59.790,137.8,0.34613314674634793,0.01368960974926094,0.386148,0.292206
008,2018-12-19 15:58:00.240,2018-12-19 16:12:59.760,136.5,0.3450283963612736,0.01662440224255155,0.404648,0.292398
012,2018-12-10 21:47:39.650,2018-12-10 22:01:59.960,141.7,0.35186709148665823,0.01806825981330252,0.401921,0.294471
